#{"t_start": 1780881969.2482378, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
29.71,29,41.674164,True,1,0,71.0,success
28.63,37,41.720206,True,1,1,63.0,success
28.75,25,41.758893,True,1,1,75.0,success
29.72,28,41.798306,True,1,0,72.0,success
29.75,25,41.828863,True,1,0,75.0,success
29.74,26,41.850064,True,1,0,74.0,success
29.76,24,41.871162,True,1,0,76.0,success
28.72,28,41.893003,True,1,1,72.0,success
29.7,30,41.916079,True,1,0,70.0,success
27.65,35,41.942629,True,1,2,65.0,success
28.7,30,41.964303,True,1,1,70.0,success
29.72,28,41.988183,True,1,0,72.0,success
29.76,24,42.009743,True,1,0,76.0,success
29.76,24,42.029876,True,1,0,76.0,success
27.68,32,42.052499,True,1,2,68.0,success
28.73,27,42.073215,True,1,1,73.0,success
28.69,31,42.099329,True,1,1,69.0,success
29.73,27,42.122316,True,1,0,73.0,success
28.74,26,42.146237,True,1,1,74.0,success
29.76,24,42.165259,True,1,0,76.0,success
28.72,28,42.186797,True,1,1,72.0,success
28.73,27,42.207657,True,1,1,73.0,success
28.72,26,42.230707,True,1,1,74.0,success
26.64,36,42.258758,True,1,3,64.0,success
28.71,29,42.2816,True,1,1,71.0,success
29.71,29,42.302631,True,1,0,71.0,success
28.66,34,42.328054,True,1,1,66.0,success
29.74,26,42.347821,True,1,0,74.0,success
28.73,27,42.370395,True,1,1,73.0,success
28.67,33,42.39392,True,1,1,67.0,success
27.63,37,42.420356,True,1,2,63.0,success
29.76,24,42.439514,True,1,0,76.0,success
25.49,49,43.800931,True,1,4,51.0,success
29.75,25,43.890556,True,1,0,75.0,success
29.74,26,44.014123,True,1,0,74.0,success
29.73,27,44.061956,True,1,0,73.0,success
29.76,24,44.102447,True,1,0,76.0,success
28.73,27,44.147699,True,1,1,73.0,success
28.73,27,44.182333,True,1,1,73.0,success
29.71,29,44.221512,True,1,0,71.0,success
28.73,27,44.246874,True,1,1,73.0,success
28.75,25,44.274065,True,1,1,75.0,success
29.75,25,44.305582,True,1,0,75.0,success
29.74,26,44.332025,True,1,0,74.0,success
29.76,24,44.357297,True,1,0,76.0,success
29.76,24,44.378681,True,1,0,76.0,success
29.76,24,44.402298,True,1,0,76.0,success
29.76,24,44.421835,True,1,0,76.0,success
